Eticheta;Microadresa MPM (decimal);Microadresa MPM (hexa);Cod microinstructiune (hexa);Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Cod microinstructiune (binar)
;;;;MIR 35 … 32;MIR 31 … 28;MIR 27 … 24;MIR 23 … 20;MIR 19 … 18;MIR 17 … 14;MIR 13 … 11;MIR 10 … 8;MIR 7;MIR 6 … 0;35 … 32;31 … 28;27 … 24;23 … 20;19 … 18;17 … 14;13 … 11;10 … 8;7;6 … 0;
IFCH:;0;0x0;0x60184D003;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmADR: 1000;IFCH: 01;+2PC: 0011;IF ACLOW JUMPI: 010;INDEX0: 000;T: 0;PWFAIL: 0000011;0110;0000;0001;1000;01;0011;010;000;0;0000011;011000000001100001001101000000000011
IFCH_1:;1;0x1;0x00000198A;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;IF CIL JUMPI: 011;INDEX1: 001;F: 1;B1: 0001010;0000;0000;0000;0000;00;0000;011;001;1;0001010;000000000000000000000001100110001010
ILLEGAL:;2;0x2;0x000014804;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;A(1)BE1: 0101;JUMPI: 001;INDEX0: 000;T: 0;INT: 0000100;0000;0000;0000;0000;00;0101;001;000;0;0000100;000000000000000000010100100000000100
PWFAIL:;3;0x3;0x000010805;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;A(1)BE0: 0100;JUMPI: 001;INDEX0: 000;T: 0;INT: 0000101;0000;0000;0000;0000;00;0100;001;000;0;0000101;000000000000000000010000100000000101
INT:;4;0x4;0x301830000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;NONE: 00;"INTA,-2SP: 1100";STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;00;1100;000;000;0;0000000;001100000001100000110000000000000000
INT_z:;5;0x5;0x101908000;PdFLAGs: 0001;NONE: 0000;SBUS: 0001;PmMDR: 1001;NONE: 00;-2SP: 0010;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0001;0000;0001;1001;00;0010;000;000;0;0000000;000100000001100100001000000000000000
INT_z:;6;0x6;0x301800000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;00;0000;000;000;0;0000000;001100000001100000000000000000000000
INT_z:;7;0x7;0x6019C0000;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmMDR: 1001;WRITE: 11;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0110;0000;0001;1001;11;0000;000;000;0;0000000;011000000001100111000000000000000000
INT_z:;8;0x8;0x701880000;PdIVRs: 0111;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0111;0000;0001;1000;10;0000;000;000;0;0000000;011100000001100010000000000000000000
INT_z:;9;0x9;0x901634800;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmPC: 0110;NONE: 00;"A(0)BE,A(0)BI: 1101";JUMPI: 001;INDEX0: 000;T: 0;IFCH: 0000000;1001;0000;0001;0110;00;1101;001;000;0;0000000;100100000001011000110100100000000000
B1:;10;0xA;0x000000A0E;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX2: 010;T: 0;FOS_AM: 0001110;0000;0000;0000;0000;00;0000;001;010;0;0001110;000000000000000000000000101000001110
B2:;11;0xB;0x000000B19;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX3: 011;T: 0;FOD_AM_B2: 0011001;0000;0000;0000;0000;00;0000;001;011;0;0011001;000000000000000000000000101100011001
B3:;12;0xC;0x000000D38;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX5: 101;T: 0;BEQ: 0111000;0000;0000;0000;0000;00;0000;001;101;0;0111000;000000000000000000000000110100111000
B4:;13;0xD;0x000000D5A;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX5: 101;T: 0;CLC: 1011010;0000;0000;0000;0000;00;0000;001;101;0;1011010;000000000000000000000000110101011010
FOS_AM:;14;0xE;0x60188C813;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;+2PC: 0011;JUMPI: 001;INDEX0: 000;T: 0;FOSEND: 0010011;0110;0000;0001;1000;10;0011;001;000;0;0010011;011000000001100010001100100000010011
